"Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Date","Lithography(nm)","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency(MHz)","Cache_Size(MB)","Type_Of_Cache","TDP(Watts)","Max_Memory_Size(GB)","Max_Memory_Bandwidth(GB/s)","Graphics_Base_Frequency(MHz)","Graphics_Max_Dynamic_Frequency(MHz)","Instruction_Set","Recommended_Customer_Price(USD)"
"Legacy Intel® Pentium® Processor","Desktop","E6700","End of Interactive Support",2010,45,2,4,3200,2,"SmartCache",65,32,25.6,350,1050,"64-bit",72
"Legacy Intel® Pentium® Processor","Desktop","E5800","End of Interactive Support",2010,45,2,4,3200,2,"Original",65,32,25.6,350,1050,"64-bit",72
"Legacy Intel® Pentium® Processor","Desktop","945","End of Interactive Support",2006,65,2,4,3400,4,"L2",95,32,25.6,350,1050,"64-bit",163
"Legacy Intel® Pentium® Processor","Desktop","521","End of Interactive Support",2005,90,1,2,2800,1,"L2",84,32,25.6,350,1050,"64-bit",68
"Legacy Intel® Pentium® Processor","Desktop","516","End of Interactive Support",2005,90,1,2,2930,1,"L2",84,32,25.6,350,1050,"64-bit",68
"Legacy Intel® Pentium® Processor","Desktop","660","End of Interactive Support",2005,90,1,2,3600,2,"L2",115,32,25.6,350,1050,"64-bit",68
"Legacy Intel® Pentium® Processor","Desktop","G640T","End of Life",2012,32,2,2,2400,3,"SmartCache",35,32,17,650,1100,"64-bit",68
"Legacy Intel® Pentium® Processor","Desktop","E5700","End of Interactive Support",2010,45,2,4,3000,2,"SmartCache",65,32,25.6,350,1050,"64-bit",64
"Legacy Intel® Pentium® Processor","Mobile","T4400","End of Interactive Support",2009,45,2,4,2200,1,"L2",35,32,25.6,350,1050,"64-bit",183
"Legacy Intel® Pentium® Processor","Mobile","T2370","End of Interactive Support",2008,65,2,4,1730,1,"L2",35,32,25.6,350,1050,"64-bit",183
"Legacy Intel® Pentium® Processor","Desktop","E2220","End of Interactive Support",2008,65,2,4,2400,1,"L2",65,32,25.6,350,1050,"64-bit",183
"Legacy Intel® Pentium® Processor","Mobile","725","End of Interactive Support",2004,90,1,2,1600,2,"L2",7.5,32,25.6,350,1050,"32-bit",183
"Legacy Intel® Pentium® Processor","Desktop","940","End of Interactive Support",2006,65,2,4,3200,4,"L2",130,32,25.6,350,1050,"64-bit",183
"Legacy Intel® Pentium® Processor","Desktop","651","End of Interactive Support",2006,65,1,2,3400,2,"L2",86,32,25.6,350,1050,"64-bit",81
"Legacy Intel® Pentium® Processor","Desktop","520J","End of Interactive Support",2004,90,1,2,2800,1,"L2",84,32,25.6,350,1050,"32-bit",75
"Legacy Intel® Pentium® Processor","Desktop","515","End of Interactive Support",2005,90,1,2,2930,1,"L2",84,32,25.6,350,1050,"32-bit",75
"Legacy Intel® Pentium® Processor","Mobile","B960","Launched",2011,32,2,2,2200,2,"L3",35,16,21.3,650,1100,"64-bit",75
"Legacy Intel® Pentium® Processor","Mobile","957","Launched",2011,32,2,2,1200,2,"L3",17,8.01,21.3,350,800,"64-bit",75
"Legacy Intel® Pentium® Processor","Mobile","T4500","End of Interactive Support",2010,45,2,4,2300,1,"Original",35,32,25.6,350,1050,"64-bit",75
"Legacy Intel® Pentium® Processor","Desktop","E6600","End of Interactive Support",2010,45,2,4,3060,2,"SmartCache",65,32,25.6,350,1050,"64-bit",75
"Legacy Intel® Pentium® Processor","Desktop","E5500","End of Interactive Support",2010,45,2,4,2800,2,"SmartCache",65,32,25.6,350,1050,"64-bit",72
"Legacy Intel® Pentium® Processor","Mobile","T2330","End of Interactive Support",2007,65,2,4,1600,1,"L2",35,32,25.6,350,1050,"64-bit",84
"Legacy Intel® Pentium® Processor","Desktop","935","End of Interactive Support",2007,65,2,4,3200,4,"L2",95,32,25.6,350,1050,"64-bit",84
"Legacy Intel® Pentium® Processor","Desktop","650","End of Interactive Support",2005,90,1,2,3400,2,"L2",84,32,25.6,350,1050,"64-bit",64
"Legacy Intel® Pentium® Processor","Desktop","G645","End of Life",2012,32,2,2,2900,3,"SmartCache",65,32,17,850,1100,"64-bit",64
"Legacy Intel® Pentium® Processor","Mobile","B970","Launched",2012,32,2,2,2300,2,"L3",35,16,21.3,650,1150,"64-bit",178
"Legacy Intel® Pentium® Processor","Mobile","967","Launched",2011,32,2,2,1300,2,"L3",17,16,21.3,350,1000,"64-bit",178
"Legacy Intel® Pentium® Processor","Mobile","P6300","End of Interactive Support",2011,32,2,2,2270,3,"SmartCache",35,8,17.1,500,667,"64-bit",178
"Legacy Intel® Pentium® Processor","Desktop","G6960","End of Interactive Support",2011,32,2,2,2930,3,"SmartCache",73,16.38,17,533,1050,"64-bit",178
"Legacy Intel® Pentium® Processor","Desktop","E6500K","End of Interactive Support",2009,45,2,4,2930,2,"Original",65,32,25.6,350,1050,"64-bit",178
"Legacy Intel® Pentium® Processor","Desktop","E2200","End of Interactive Support",2007,65,2,4,2200,1,"L2",65,32,25.6,350,1050,"64-bit",178
"Legacy Intel® Pentium® Processor","Mobile","T2310","End of Interactive Support",2007,65,2,4,1460,1,"L2",35,32,25.6,350,1050,"64-bit",178
"Legacy Intel® Pentium® Processor","Desktop","930","End of Interactive Support",2006,65,2,4,3000,4,"L2",95,32,25.6,350,1050,"64-bit",178
"Legacy Intel® Pentium® Processor","Desktop","840","End of Interactive Support",2005,90,2,4,3200,2,"L2",130,32,25.6,350,1050,"64-bit",423
"Legacy Intel® Pentium® Processor","Desktop","641","End of Interactive Support",2006,65,1,2,3200,2,"L2",86,32,25.6,350,1050,"64-bit",64
"Legacy Intel® Pentium® Processor","Desktop","511","End of Interactive Support",2005,90,1,2,2800,1,"L2",84,32,25.6,350,1050,"64-bit",64
